元梦之星创作者平台LUA编程通用数据定义

充能大招列表
描述: 相关函数：设置玩家当前充能大招（SetRechargedAbility）
充能大招名字	充能大招ID
三重回旋镖	91002
雪人炮弹	91004
旋风锤	91006
喷气滑翔翼	91007
铁头冲锋	91008
陨石术	91009
魔法瓶	91010
芭蕉扇	91011
雷隐术	91012
能量护盾	91013
粘性炸弹	91014
守护精灵	91015
道具盲盒	91016
云朵方块	91018
冰雪公主	91020
反弹护盾	91021

动画列表
描述: 相关函数：让角色播放动作（PlayAnim）、让角色停止播放动作（StopAnim）
动画类型	动画名字	动画参数
角色特效	高能打击效果	43
角色特效	爆发打击效果	44
角色特效	光波打击效果	45
角色特效	水刀光	52
角色特效	火刀光	53
角色特效	利爪刀光	54
角色特效	冰箭	135
角色特效	伞	136
角色特效	金辉光球	138
角色特效	金辉光环	140
角色特效	冰封迟缓	141
角色特效	冰晶净化	142
角色特效	眩晕之环	149
角色特效	裂纹破碎	153
角色特效	风受击	162
角色特效	火受击	209
角色特效	冰受击	210
角色特效	幽蓝爪击1	218
角色特效	幽蓝爪击2	219
角色特效	幽蓝爪击3	220
角色特效	重剑刀光1	236
角色特效	重剑刀光2	237
角色特效	重剑刀光3	238
角色特效	轻剑刀光1	239
角色特效	轻剑刀光2	240
角色特效	轻剑刀光3	241
角色特效	大锤刀光1	242
角色特效	大锤爆炸2	243
角色特效	大锤爆炸3	244
角色特效	大锤刀光4	245
角色特效	棍戟刀光1	246
角色特效	棍戟刀光2	247
角色特效	棍戟刀光3	248
角色特效	棍戟气旋4	249
角色特效	棍戟气旋5	250
角色特效	棍戟气旋6	251
角色特效	法杖刀光1	252
角色特效	法杖刀光2	253
角色特效	法杖刀光3	254
角色特效	法杖拖尾特效4	255
角色特效	法杖拖尾特效5	256
角色特效	法杖气旋6	257
角色特效	匕首刀光1	258
角色特效	匕首刀光2	259
角色特效	匕首刀光3	260
角色特效	匕首气旋4	261
角色特效	磁力蓄力	263
角色特效	磁力弹反	264
角色特效	磁力轻击	265
角色特效	磁力重击	266
角色特效	磁力状态	267
元件特效	冰爆炸	1
元件特效	熔岩爆炸	2
元件特效	剑气爆炸	3
元件特效	音波爆炸	4
元件特效	水彩爆炸	5
元件特效	星光爆炸	6
元件特效	雷电爆炸	7
元件特效	梦幻爆炸	8
元件特效	黑洞爆炸	9
元件特效	迷幻爆炸	10
元件特效	电音环	12
元件特效	电球	13
元件特效	水球爆炸	14
元件特效	黑洞	16
元件特效	熔岩能量球	17
元件特效	毒圈	21
元件特效	火环	22
元件特效	能量地块	33
元件特效	光栅	35
元件特效	屏障	36
元件特效	国风云纹	127
元件特效	水墨晕染	128
元件特效	环形水墨	129
元件特效	矩阵空间	132
元件特效	闪耀爆破	137
元件特效	火焰爆破	139
元件特效	雷光电涌	144
元件特效	星辉冲击	145
元件特效	电光绽放	146
元件特效	电弧脉冲	147
元件特效	能量冲击	150
元件特效	紫焰冲天	154
元件特效	光辉之柱	155
元件特效	烈火焚地	157
元件特效	气旋之眼	158
元件特效	火焰涟漪	159
元件特效	巨石突刺	160
元件特效	碧海冲击	161
元件特效	环绕旋风	163
元件特效	旋风突袭	164
元件特效	黑洞风暴	165
元件特效	绿毒爆炸	167
元件特效	腐蚀炸弹	169
元件特效	破晓光束	170
元件特效	翡翠冲击	171
元件特效	翠绿爆破	172
元件特效	风影穿梭	173
元件特效	匕首轻击	174
元件特效	匕首重击	175
元件特效	军刀轻击	176
元件特效	军刀重击	177
元件特效	重斧攻击	196
元件特效	重斧砸地	197
元件特效	斧头受击	198
元件特效	斧头蓄力	199
元件特效	剑攻击	200
元件特效	剑受击	201
元件特效	剑蓄力	202
元件特效	重锤攻击	203
元件特效	重锤砸地	204
元件特效	锤地爆炸	205
元件特效	重锤蓄力	206
元件特效	火龙冲击	208
元件特效	圣光绽放	211
元件特效	圣光爆破	212
元件特效	涌泉蓄势	213
元件特效	涌泉突击	214
元件特效	能量护盾	215
元件特效	腐蚀之池	216
元件特效	震荡圆环	217
元件特效	幽蓝刀光	221
元件特效	冰晶突刺	222
元件特效	水幕夹击	223
元件特效	火焰旋击	229
元件特效	天降重锤	230
元件特效	飞沙走石	231
元件特效	闪电圈	232
元件特效	白色刀光1	233
元件特效	白色刀光2	234
元件特效	白色刀光3	235
元件特效	星烁鎏光-弓	303
元件特效	嫣红曳影-弓	304
元件特效	赤霄焚空-弓	305
元件特效	冰璃浮光-弓	306
元件特效	星辰幻影-弓	307
元件特效	碧叶流岚-弓	308
元件特效	幽墨舞尘-弓	309
元件特效	橙蝶幻翎-弓	310
元件特效	量子蚀夜-弓	311
元件特效	七彩流光-弓	312
元件特效	星烁鎏光-矛	313
元件特效	嫣红曳影-矛	314
元件特效	赤霄焚空-矛	315
元件特效	冰璃浮光-矛	316
元件特效	星辰幻影-矛	317
元件特效	碧叶流岚-矛	318
元件特效	幽墨舞尘-矛	319
元件特效	橙蝶幻翎-矛	320
元件特效	量子蚀夜-矛	321
元件特效	七彩流光-矛	322
元件特效	星烁鎏光-斧	323
元件特效	嫣红曳影-斧	324
元件特效	赤霄焚空-斧	325
元件特效	冰璃浮光-斧	326
元件特效	星辰幻影-斧	327
元件特效	碧叶流岚-斧	328
元件特效	幽墨舞尘-斧	329
元件特效	橙蝶幻翎-斧	330
元件特效	量子蚀夜-斧	331
元件特效	七彩流光-斧	332
元件特效	通用常驻-弓	333
元件特效	通用常驻-矛	334
元件特效	通用常驻-斧	335
指示特效	水瓶座	89
指示特效	白羊座	90
指示特效	巨蟹座	91
指示特效	魔羯座	92
指示特效	双子座	93
指示特效	狮子座	94
指示特效	天秤座	95
指示特效	双鱼座	96
指示特效	射手座	97
指示特效	天蝎座	98
指示特效	金牛座	99
指示特效	处女座	100
指示特效	动态箭头	118
拖尾特效	彗星子弹	25
拖尾特效	彩虹子弹	26
拖尾特效	迷幻子弹	27
拖尾特效	拖尾特效	108
拖尾特效	拖尾特效星星	110
拖尾特效	火箭火焰1	111
拖尾特效	火箭火焰2	112
拖尾特效	双子星辉	143
拖尾特效	烈焰之球	156
拖尾特效	幻彩泡泡	166
拖尾特效	绿毒踪弹	168
拖尾特效	烈焰之拳	207
拖尾特效	白色拖尾-箭	269
拖尾特效	白色拖尾-矛	270
拖尾特效	白色拖尾-斧	271
拖尾特效	白光链	272
拖尾特效	星烁鎏光-箭	273
拖尾特效	嫣红曳影-箭	274
拖尾特效	赤霄焚空-箭	275
拖尾特效	冰璃浮光-箭	276
拖尾特效	星辰幻影-箭	277
拖尾特效	碧叶流岚-箭	278
拖尾特效	幽墨舞尘-箭	279
拖尾特效	橙蝶幻翎-箭	280
拖尾特效	量子蚀夜-箭	281
拖尾特效	七彩流光-箭	282
拖尾特效	星烁鎏光-矛	283
拖尾特效	嫣红曳影-矛	284
拖尾特效	赤霄焚空-矛	285
拖尾特效	冰璃浮光-矛	286
拖尾特效	星辰幻影-矛	287
拖尾特效	碧叶流岚-矛	288
拖尾特效	幽墨舞尘-矛	289
拖尾特效	橙蝶幻翎-矛	290
拖尾特效	量子蚀夜-矛	291
拖尾特效	七彩流光-矛	292
拖尾特效	星烁鎏光-斧	293
拖尾特效	嫣红曳影-斧	294
拖尾特效	赤霄焚空-斧	295
拖尾特效	冰璃浮光-斧	296
拖尾特效	星辰幻影-斧	297
拖尾特效	碧叶流岚-斧	298
拖尾特效	幽墨舞尘-斧	299
拖尾特效	橙蝶幻翎-斧	300
拖尾特效	量子蚀夜-斧	301
拖尾特效	七彩流光-斧	302
枪口特效	红包火光1	350
枪口特效	红包火光2	351
枪口特效	红包火光3	352
枪口特效	烟花火光	353
枪口特效	礼炮火光	354
枪口特效	科技炮火光1	363
枪口特效	科技炮火光2	367
枪口特效	毒液火光	371
枪口特效	磁能火光	375
枪口特效	火焰喷射	379
弹壳特效	烟花弹壳	355
弹壳特效	礼炮弹壳	356
弹壳特效	科技炮弹壳1	365
弹壳特效	科技炮弹壳2	369
弹壳特效	毒液弹壳	373
弹壳特效	磁能弹壳	377
弹壳特效	流光弹壳	381
命中特效	红包爆炸	357
命中特效	金福爆炸	358
命中特效	金元宝爆炸	359
命中特效	烟花爆发	360
命中特效	礼炮爆发	361
命中特效	科技炮光效1	366
命中特效	科技炮光效2	370
命中特效	毒液光效	374
命中特效	磁能爆炸	378
命中特效	火焰喷发	382

说话者面部表情列表
描述: 相关函数：对玩家弹出对话框（ShowDialogue）
说话者面部表情名字	说话者面部表情参数
默认	0
星眸	100001
星星眼	100002
微笑	100003
捣蛋鬼	100004
凝视	100005
无语流汗	100006
目瞪口呆	100007
滑稽	100008
昏昏欲睡	100009
无语凝噎	100010
晕头转向	100011
勃然大怒	100012
太难了	100013
害羞	100014
调皮	100015
恶心	100016
惊恐	100017
含泪	100018
倒霉	100019
翻白眼	100020
大崩溃	100021
大口亲亲	100022
长睫星眸	100023
笑哭了	100024
假生气	100025
糗大了	100026
小情绪	100027
哦哟	100028
忍不了	100029
吐舌头	100030
超然	100031
尬到飙汗	100032

天空滤镜列表
描述: 相关函数：设置天空环境滤镜效果（SetSkyBoxFilterByFilterId）
天空滤镜名字	天空滤镜ID
无滤镜	0
明亮	1
次元	2
糖果	3
暖风	4
樱花	5
江南	6
丹青	7
淡雅	8
秘语	9
黑白	10
夜视	11
蒸汽波	12
失语	13
咖啡	14
星莱坞_01	15
星莱坞_02	16
怀旧_01	17
怀旧_02	18
古色古香	19
质感强化	20
黑白负片	21
彩色负片	22
暗绿柳莺	23

图片列表
描述: 相关函数：改变控件的底图（SetImage）、改变进度条的底图（SetProgressBackgroundImage）、获取图片原生尺寸（GetImageNativeSize）、修改图标显示器图片（SetPictureBoardImage）、设置目标指引图案（SetGuidePicture）、设置玩家头像（SetCustomHeadIconImage）
一级分类	二级分类	图片名字	图片ID
按钮	基础	默认	10000001
按钮	基础	关闭	10000002
按钮	基础	加号1	10000004
按钮	基础	加号2	10000006
按钮	基础	加号3	10010002
按钮	基础	加号4	10010004
按钮	基础	加号5	10010006
按钮	基础	加号6	10010007
按钮	基础	加号6禁用	10010008
按钮	基础	加号7	10010083
按钮	基础	加号7禁用	10010084
按钮	基础	加号8	10010087
按钮	基础	加号9	10010082
按钮	基础	减号1	10000003
按钮	基础	减号2	10000005
按钮	基础	减号3	10010001
按钮	基础	减号4	10010003
按钮	基础	减号5	10010005
按钮	基础	减号6	10010009
按钮	基础	减号6禁用	10010010
按钮	基础	减号7	10010085
按钮	基础	减号7禁用	10010086
按钮	基础	减号8	10010088
按钮	基础	灰色按钮1	10000007
按钮	基础	灰色按钮2	10000008
按钮	基础	灰色按钮3	10000009
按钮	基础	绿色按钮1	10000010
按钮	基础	绿色按钮2	10000011
按钮	基础	绿色按钮3	10000012
按钮	基础	红色按钮1	10000013
按钮	基础	红色按钮2	10000014
按钮	基础	红色按钮3	10000015
按钮	基础	黄色按钮1	10000016
按钮	基础	黄色按钮2	10000017
按钮	基础	黄色按钮3	10000018
按钮	基础	长条按钮1	10010011
按钮	基础	长条按钮2	10010012
按钮	基础	长条按钮3	10010013
按钮	基础	长条按钮1（红）	10010014
按钮	基础	长条按钮2	10010015
按钮	基础	长条按钮1（黄）	10010016
按钮	基础	长条按钮2	10010017
按钮	基础	长条按钮1（灰）	10010018
按钮	基础	长条按钮2	10010019
按钮	基础	长条按钮1（蓝）	10010020
按钮	基础	长条按钮2	10010021
按钮	基础	长条按钮1（白）	10010022
按钮	基础	长条按钮2	10010023
按钮	基础	长条按钮1	10010054
按钮	基础	长条按钮2	10010055
按钮	基础	长条按钮3	10010056
按钮	基础	长条按钮4	10010057
按钮	基础	长条按钮5	10010058
按钮	基础	长条按钮1	10010059
按钮	基础	长条按钮2	10010060
按钮	基础	长条按钮3	10010061
按钮	基础	长条按钮4	10010062
按钮	基础	长条按钮5	10010063
按钮	基础	圆形按钮1	10010064
按钮	基础	圆形按钮2	10010065
按钮	基础	圆形按钮3	10010066
按钮	基础	圆形按钮4	10010067
按钮	基础	圆形按钮5	10010068
按钮	基础	定位1	10010024
按钮	基础	定位2	10010025
按钮	基础	定位3	10010069
按钮	基础	对话1	10010026
按钮	基础	对话2	10010027
按钮	基础	对话3	10010070
按钮	基础	礼物1	10010028
按钮	基础	礼物2	10010029
按钮	基础	礼物3	10010071
按钮	基础	列表1	10010030
按钮	基础	列表2	10010031
按钮	基础	列表3	10010072
按钮	基础	目标1	10010032
按钮	基础	目标2	10010033
按钮	基础	目标3	10010073
按钮	基础	删除1	10010034
按钮	基础	删除2	10010035
按钮	基础	删除3	10010074
按钮	基础	搜索1	10010036
按钮	基础	搜索2	10010037
按钮	基础	搜索3	10010075
按钮	基础	锁定1	10010038
按钮	基础	锁定2	10010039
按钮	基础	锁定3	10010076
按钮	基础	问号1	10010040
按钮	基础	问号2	10010041
按钮	基础	问号3	10010077
按钮	基础	长底加号1	10010042
按钮	基础	长底加号2	10010043
按钮	基础	长底加号3	10010078
按钮	基础	背包	10010044
按钮	基础	道具	10010045
按钮	基础	购物车	10010046
按钮	基础	叹号	10010047
按钮	基础	关闭1	10010048
按钮	基础	关闭2	10010049
按钮	基础	关闭3	10010079
按钮	基础	开关1_关	10010050
按钮	基础	开关1_开	10010051
按钮	基础	开关2_关	10010052
按钮	基础	开关2_开	10010053
按钮	基础	开关3_关	10010080
按钮	基础	开关3_开	10010081
按钮	基础	关闭4	10010091
按钮	交互	开门	20000001
按钮	交互	攻击	20000002
按钮	交互	砍伐	20000003
按钮	交互	锻造	20000004
按钮	交互	拿取	20000005
按钮	交互	战斗	20000006
按钮	交互	防御	20000007
按钮	交互	宝箱	20000008
按钮	交互	钥匙	20000009
按钮	交互	对话	20000010
按钮	交互	挥剑攻击	20000011
按钮	交互	修理	20000012
按钮	交互	交易	20000013
按钮	交互	手雷	20000014
按钮	交互	双手雷	20000015
按钮	交互	火焰手雷	20000016
按钮	交互	冰冻手雷	20000017
按钮	交互	传送手雷	20000018
按钮	交互	治疗	20000019
按钮	交互	护盾	20000020
按钮	交互	复活	20000021
按钮	交互	开火	20000022
按钮	交互	瞄准	20000023
按钮	交互	连射	20000024
按钮	交互	缩小药水	20000025
按钮	交互	增涨药水	20000026
按钮	交互	经验药水	20000027
按钮	交互	魔术法杖	20000028
按钮	交互	魔法球	20000029
按钮	交互	速射弩	20000030
按钮	交互	重锤	20000031
按钮	交互	分散发射	20000032
按钮	交互	天降正义	20000033
按钮	交互	元气弹	20000034
按钮	交互	雪花弹	20000035
按钮	交互	电击	20000036
按钮	交互	剑气	20000037
按钮	交互	漩涡	20000038
按钮	交互	挥砍	20000039
按钮	交互	雷电球	20000040
按钮	交互	流星雨	20000041
按钮	交互	漂浮	20000042
按钮	交互	速度上升	20000043
按钮	交互	速度下降	20000044
按钮	交互	球	20000045
按钮	交互	拳击	20000046
按钮	交互	火焰球	20000047
按钮	交互	闪避	20000048
按钮	交互	流星	20000049
按钮	交互	逃跑	20000050
按钮	交互	偷取	20000051
按钮	交互	星星球	20000052
按钮	交互	坠落	20000053
按钮	交互	锤击	20000054
按钮	交互	传送	20000055
按钮	交互	升级	20000056
按钮	交互	吸血	20000057
按钮	交互	毒瓶	20000058
按钮	交互	坠落	20000059
按钮	交互	终极光束	20000060
按钮	交互	防护罩	20000061
按钮	交互	天降正义1	20000062
按钮	交互	星光闪耀1	20000063
按钮	交互	巨剑斩击1	20000064
按钮	交互	天降正义2	20000065
按钮	交互	星光闪耀2	20000067
按钮	交互	巨剑斩击2	20000066
按钮	交互	斩击(花纹)	20000068
按钮	交互	技能图标1	20000080
按钮	交互	技能图标2	20000081
按钮	交互	技能图标3	20000082
按钮	交互	技能图标4	20000073
按钮	交互	技能图标5	20000074
按钮	交互	技能图标6	20000075
按钮	交互	技能图标7	20000076
按钮	交互	技能图标8	20000077
按钮	交互	技能图标9	20000078
按钮	交互	技能图标10	20000079
按钮	交互	技能图标11	20000083
按钮	交互	技能图标12	20000084
按钮	交互	技能图标13	20000085
按钮	交互	技能图标14	20000086
按钮	交互	技能图标15	20000087
按钮	交互	技能图标16	20000088
按钮	交互	技能图标17	20000089
按钮	交互	技能图标18	20000090
按钮	交互	技能图标19	20000091
按钮	交互	技能图标20	20000092
按钮	交互	技能图标21	20000093
按钮	交互	技能图标22	20000094
按钮	交互	技能图标23	20000095
按钮	交互	技能图标24	20000096
按钮	交互	技能图标25	20000097
按钮	交互	技能图标26	20000098
按钮	交互	技能图标27	20000099
按钮	交互	技能图标28	20000100
按钮	交互	技能图标29	20000101
按钮	交互	技能图标30	20000102
按钮	交互	技能图标31	20000103
按钮	交互	技能图标32	20000104
按钮	交互	技能图标33	20000105
按钮	交互	技能图标34	20000106
按钮	交互	技能图标35	20000107
按钮	交互	技能图标36	20000108
按钮	交互	技能图标37	20000109
按钮	交互	技能图标38	20000110
按钮	交互	技能图标39	20000111
按钮	交互	技能图标40	20000112
按钮	交互	技能图标41	20000113
按钮	交互	技能图标42	20000114
按钮	交互	技能图标43	20000115
按钮	交互	技能图标44	20000116
按钮	交互	技能图标45	20000117
按钮	交互	技能图标46	20000118
按钮	交互	技能图标47	20000119
按钮	交互	技能图标48	20000120
按钮	交互	技能图标49	20000121
按钮	交互	技能图标50	20000122
按钮	交互	技能图标51	20000123
按钮	交互	技能图标52	20000124
按钮	交互	技能图标53	20000125
按钮	交互	技能图标54	20000126
按钮	交互	技能图标55	20000127
按钮	交互	技能图标56	20000128
按钮	交互	技能图标57	20000129
按钮	交互	技能图标58	20000130
按钮	交互	技能图标59	20000131
按钮	交互	技能图标60	20000132
按钮	交互	技能图标60	20000132
按钮	交互	技能图标61	20000133
按钮	交互	技能图标62	20000134
按钮	交互	技能图标63	20000135
图片	基础	正方形	30000001
图片	基础	三角形	30000002
图片	基础	五边形	30000004
图片	基础	正方形(圆角)	30010001
图片	基础	三角形(圆角)	30010002
图片	基础	圆形	30010003
图片	基础	五角星	30010004
图片	基础	六边形	30000005
图片	基础	梯形	30000006
图片	基础	渐变	30010021
图片	基础	渐变(圆角)	30000007
图片	基础	圆角矩形1	30010005
图片	基础	圆角矩形2	30010006
图片	基础	梯形(圆角)	30010022
图片	基础	箭头1	30000012
图片	基础	箭头2	30000013
图片	基础	箭头3	30000014
图片	基础	箭头4	30000015
图片	基础	箭头5	30010008
图片	基础	箭头6	30010024
图片	基础	V形箭头	30010009
图片	基础	符文箭头	30010023
图片	基础	圆形	30010010
图片	基础	内发光环	30010011
图片	基础	符文环	30010012
图片	基础	环形	30010013
图片	基础	锁	30000016
图片	基础	正确1	30000017
图片	基础	正确2	30010014
图片	基础	正确3	30010025
图片	基础	错误1	30000018
图片	基础	错误2	30010015
图片	基础	错误3	30010026
图片	基础	提示	30000019
图片	基础	问号	30000021
图片	基础	定位	30000022
图片	基础	爱心	30000023
图片	基础	警告1	30010016
图片	基础	警告2	30010017
图片	基础	警告3	30010018
图片	基础	警告4	30010027
图片	基础	叹号1	30010030
图片	基础	叹号2	30010031
图片	基础	破碎叹号1	30010033
图片	道具	放大镜	40000001
图片	道具	问号	40000002
图片	道具	钻石	40000003
图片	道具	计时器	40000004
图片	道具	金币1	40000005
图片	道具	金币2	40000006
图片	道具	金币3	40000007
图片	道具	钥匙	40000008
图片	道具	ID卡	40000009
图片	道具	电池1	40000010
图片	道具	电池2	40000011
图片	道具	电池3	40000012
图片	道具	药水	40000013
图片	道具	普通宝箱	40000014
图片	道具	低级宝箱	40000015
图片	道具	中级宝箱	40000016
图片	道具	高级宝箱	40000017
图片	道具	鸡腿	40000018
图片	道具	木材	40000019
图片	道具	皮革	40000020
图片	道具	拼图	40000021
图片	道具	肉	40000022
图片	道具	手电筒	40000023
图片	道具	铁铲	40000024
图片	道具	铁矿	40000025
图片	道具	剑	40000026
图片	道具	血药	40000027
图片	道具	炸药	40000028
图片	道具	火柴	40000029
图片	道具	书籍	40000030
图片	道具	铃铛	40000031
图片	道具	棒棒糖	40000032
图片	道具	信封	40000033
图片	道具	相机	40000034
图片	道具	口哨	40000035
图片	道具	番茄	40000036
图片	道具	红包	40000037
图片	道具	红包(未解锁)	40000038
图片	道具	红包(已打开)	40000039
图片	道具	奶油蛋糕块	40000040
图片	道具	牛肉块	40000041
图片	道具	玉米	40000042
图片	道具	牛奶	40000043
图片	道具	草莓雪堡蛋糕	40000044
图片	道具	桂花酿	40000045
图片	道具	鸡肉	40000046
图片	道具	鸡腿	40000047
图片	道具	鱼	40000048
图片	道具	香菇	40000049
图片	道具	西瓜	40000050
图片	道具	西瓜切片	40000051
图片	道具	霰弹枪1	40000052
图片	道具	狙击枪1	40000053
图片	道具	棒球棒	40000054
图片	道具	篮球	40000055
图片	道具	步枪1	40000056
图片	道具	步枪2	40000057
图片	道具	榴弹枪	40000058
图片	道具	机枪	40000059
图片	道具	霰弹枪2	40000060
图片	道具	手枪	40000061
图片	道具	火箭筒	40000062
图片	道具	狙击枪2	40000063
图片	道具	电击云	40000064
图片	道具	元宝	40000065
图片	道具	冲锋枪	40000066
图片	道具	军刀1	40000067
图片	道具	军刀2	40000068
图片	道具	书本	40000069
图片	道具	礼物	40000070
图片	道具	宝箱2	40000071
图片	道具	星钻	40000072
图片	道具	金币	40000073
图片	道具	星空币	40000074
图片	道具	银币	40000075
图片	道具	大锤	40000076
图片	道具	单手剑	40000077
图片	道具	法杖	40000078
图片	道具	一级护甲	40000079
图片	道具	二级护甲	40000080
图片	道具	三级护甲	40000081
图片	道具	一级头盔	40000082
图片	道具	二级头盔	40000083
图片	道具	三级头盔	40000084
图片	道具	装备外观	40000085
图片	道具	手雷	40000086
图片	道具	烟雾弹	40000087
图片	道具	充电宝	40000088
图片	道具	重型子弹	40000089
图片	道具	轻型子弹	40000090
图片	道具	特种弹	40000091
图片	道具	自定义物品	40000092
图片	弹窗	纸质弹窗1	50000001
图片	弹窗	纸质弹窗2_1	50000002
图片	弹窗	任务列表_1	50000003
图片	弹窗	任务列表_2	50000004
图片	弹窗	任务列表_3	50000005
图片	弹窗	任务列表_4	50000006
图片	弹窗	笔记本_1	50000007
图片	弹窗	卡片1	50000008
图片	弹窗	卡片2	50000009
图片	弹窗	写字板1	50000010
图片	弹窗	写字板2	50000011
图片	弹窗	纸张	50000012
图片	弹窗	背景1	50000013
图片	弹窗	背景2	50000014
图片	弹窗	电视1	50000015
图片	弹窗	电视2	50000016
图片	弹窗	背包背景	50000017
图片	弹窗	气泡小弹窗	50000018
图片	弹窗	结算弹窗	50000019
图片	弹窗	像素(窄)	50000020
图片	弹窗	像素(宽)	50000021
图片	弹窗	平板背景	50000022
图片	弹窗	潮流弹窗	50000023
图片	弹窗	星宝卡片	50000024
图片	弹窗	对话小弹窗	50000025
图片	弹窗	潮流写字板	50000026
图片	弹窗	国风弹窗	50000027
图片	弹窗	黑色标题板	50000028
图片	弹窗	木制标题板	50000029
图片	弹窗	蓝色活力	50000030
图片	弹窗	绿色活力	50000031
图片	弹窗	底板	50000032
图片	弹窗	标题底板	50000033
图片	弹窗	古迹弹窗1	50000034
图片	弹窗	古迹弹窗2	50000035
图片	弹窗	古迹弹窗1	50000036
图片	弹窗	古迹弹窗2	50000037
图片	弹窗	票卷弹窗	50000040
图片	弹窗	背景3	50000041
图片	弹窗	背景4	50000042
图片	弹窗	狐尾弹窗	50000043
图片	弹窗	狐耳底板	50000044
图片	弹窗	提示弹窗	50000045
图片	弹窗	渐变黑弹窗	50000046
图片	弹窗	列表条目1	50000047
图片	弹窗	列表条目2	50000048
图片	弹窗	列表条目3	50000049
图片	弹窗	列表条目4	50000050
图片	弹窗	物品底板	50000051
图片	弹窗	卡包底板	50000052
图片	弹窗	便签底板1	50000053
图片	弹窗	便签底板2	50000054
图片	弹窗	票卷弹窗2	50000055
图片	弹窗	标题弹窗	50000056
图片	弹窗	票卷弹窗3	50000057
图片	弹窗	荣耀弹窗	50000058
图片	弹窗	票卷弹窗4	50000059
图片	弹窗	票卷弹窗5	50000060
图片	弹窗	窗格弹窗	50000061
图片	弹窗	灯饰弹窗	50000062
图片	弹窗	红框弹窗	50000063
图片	弹窗	装饰弹窗	50000064
图片	弹窗	科技弹窗1	50000065
图片	弹窗	科技弹窗2	50000066
图片	弹窗	卡牌弹窗	50000067
图片	弹窗	票卷弹窗6	50000068
图片	弹窗	票卷弹窗7	50000069
图片	弹窗	庆典弹窗1	50000070
图片	弹窗	庆典弹窗2	50000071
图片	弹窗	说明弹窗	50000072
图片	弹窗	云纹弹窗	50000073
图片	弹窗	日历弹窗1	50000074
图片	弹窗	日历弹窗2	50000075
图片	弹窗	日历弹窗3	50000076
图片	弹窗	票卷弹窗8	50000077
图片	弹窗	便签底板3	50000078
图片	弹窗	便签底板4	50000079
图片	弹窗	便签底板5	50000080
图片	弹窗	气泡弹窗1	50000081
图片	弹窗	气泡弹窗2	50000082
图片	弹窗	蓝色气泡弹窗	50000083
图片	弹窗	红色气泡弹窗	50000084
图片	弹窗	锦鲤弹窗	50000085
图片	弹窗	水体弹窗1	50000086
图片	弹窗	水体弹窗2	50000087
图片	弹窗	水体弹窗3	50000088
图片	弹窗	水体弹窗4	50000089
图片	弹窗	心愿弹窗	50000090
图片	弹窗	渐变红底板	50000091
图片	弹窗	说明弹窗2	50000092
图片	弹窗	摇奖弹窗	50000093
图片	弹窗	祈愿页签1	50000094
图片	弹窗	祈愿页签2	50000095
图片	弹窗	星饰弹窗	50000096
图片	弹窗	星饰弹窗2	50000097
图片	弹窗	星饰弹窗3	50000098
图片	弹窗	星饰弹窗4	50000099
图片	弹窗	星饰弹窗5	50000100
图片	弹窗	渐变卡牌1	50000101
图片	弹窗	渐变卡牌2	50000102
图片	弹窗	渐变卡牌3	50000103
图片	弹窗	渐变卡牌4	50000104
图片	弹窗	渐变菱形1	50000105
图片	弹窗	渐变菱形2	50000106
图片	弹窗	渐变菱形3	50000107
图片	弹窗	梯形底板	50000108
图片	弹窗	提示标题	50000109
图片	弹窗	对话弹窗	50000110
图片	装饰	纸质弹窗1_2	60000001
图片	装饰	纸质弹窗1_3	60000002
图片	装饰	纸质弹窗2_2	60000003
图片	装饰	笔记本_2	60000004
图片	装饰	笔记本_3	60000005
图片	装饰	笔记本_4	60000006
图片	装饰	笔记本_5	60000007
图片	装饰	笔记本_6	60000008
图片	装饰	笔记本_7	60000009
图片	装饰	笔记本_8	60000010
图片	装饰	笔记本_9	60000011
图片	装饰	标题背景1	60000012
图片	装饰	标题背景2	60000013
图片	装饰	标题背景3	60000014
图片	装饰	标题背景4	60000015
图片	装饰	标题背景5	60000016
图片	装饰	标题背景6	60000017
图片	装饰	关闭	60000018
图片	装饰	渐变警示牌	60000019
图片	装饰	警告横条	60000020
图片	装饰	蓝色五角星	60000021
图片	装饰	橙色五角星	60000022
图片	装饰	黄色五角星	60000023
图片	装饰	黄色警示牌	60000024
图片	装饰	红色警示牌	60000025
图片	装饰	红底装饰	60000026
图片	装饰	蓝底装饰	60000027
图片	装饰	小黑板	60000028
图片	装饰	笔划·横	60010001
图片	装饰	笔划·粗横	60010002
图片	装饰	笔划·细横	60010003
图片	装饰	笔划·撇	60010004
图片	装饰	笔划·捺	60010005
图片	装饰	笔划·点	60010006
图片	装饰	笔划·竖弯	60010007
图片	装饰	笔划·弯钩	60010008
图片	装饰	笔划·弧形	60010009
图片	装饰	笔划·墨环1	60010010
图片	装饰	笔划·墨环2	60010011
图片	装饰	笔划·墨点1	60010012
图片	装饰	笔划·墨点2	60010013
图片	装饰	底板	60010014
图片	装饰	底板背包	60010015
图片	装饰	底板道具	60010016
图片	装饰	底板购物车	60010017
图片	装饰	底板叹号	60010018
图片	装饰	黑色底板1	60010019
图片	装饰	黑色底板2	60010020
图片	装饰	黑色底板3	60010021
图片	装饰	黑色底板4	60010022
图片	装饰	古迹底板	60010023
图片	装饰	图标底板	60010024
图片	装饰	小树怪	60010025
